Combination,Model,Max Tokens,Temperature,Context,Prompt,Response,Word Count,,Simple Context,Simple Prompt,,,,,,,,
Combination 11,gpt-3.5-turbo,100,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"3rd year computer science student with expertise in full stack web development, AI, machine learning. Proficient in Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication, leadership, and STEM education.",30,,C1,P1,C1_P1,,,,,,,
Combination 12,gpt-4-turbo,100,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd-year computer science student, I specialize in full-stack development, AI, and machine learning, with proficiency in Python, C++, Java, and various technical tools. I also lead STEM education initiatives.",31,,C1,P1,C1_P1,,,,,,,
Combination 13,gpt-3.5-turbo,25,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"3rd year computer science student with expertise in full stack web development, AI, machine learning. Proficient in Python, C",19,,C1,P1,C1_P1,,,,,,,
Combination 14,gpt-4-turbo,25,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd-year computer science student proficient in full stack development, AI, and machine learning, I offer a mix",19,,C1,P1,C1_P1,,,,,,,
Combination 15,gpt-3.5-turbo,50,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, and machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Leadership in STEM education.",28,,C1,P1,C1_P1,,,,,,,
Combination 16,gpt-4-turbo,50,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Third-year computer science student with expertise in full stack development, AI, and machine learning. Skilled in Python, C++, Java, and various tools. Experienced in leading STEM education projects.",28,,C1,P1,C1_P1,,,,,,,
Combination 17,gpt-3.5-turbo,100,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student with proficiency in full stack web development, AI, and machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. STEM education leader.",28,,C1,P1,C1_P1,,,,,,,
Combination 18,gpt-4-turbo,100,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with proficiency in Python, C++, Java, and tools like GitHub and PostgreSQL. I also lead STEM education projects, enhancing my communication and problem-solving skills.",41,,C1,P1,C1_P1,,,,,,,
Combination 19,gpt-3.5-turbo,25,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning,",20,,C1,P2,C1_P2,,,,,,,
Combination 20,gpt-4-turbo,25,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with",19,,C1,P2,C1_P2,,,,,,,
Combination 21,gpt-3.5-turbo,50,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and skilled in tools like GitHub, PostgreSQL, and Unity. I have experience in",39,,C1,P2,C1_P2,,,,,,,
Combination 22,gpt-4-turbo,50,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am proficient in Python, C++, and Java, and familiar with tools like GitHub, PostgreSQL, and Unity. My leadership in STEM",39,,C1,P2,C1_P2,,,,,,,
Combination 23,gpt-3.5-turbo,100,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and skilled in tools like GitHub, PostgreSQL, and Unity. I have experience in academic and personal projects, and have led STEM education initiatives, refining my communication and problem-solving abilities.",55,,C1,P2,C1_P2,,,,,,,
Combination 24,gpt-4-turbo,100,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with proficiency in Python, C++, Java, GitHub, PostgreSQL, and Unity. My experience includes leading STEM education initiatives and managing both academic and personal projects, enhancing my communication, creativity, and problem-solving skills.",49,,C1,P2,C1_P2,,,,,,,
Combination 25,gpt-3.5-turbo,25,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, machine learning, and",20,,C1,P2,C1_P2,,,,,,,
Combination 26,gpt-4-turbo,25,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am",20,,C1,P2,C1_P2,,,,,,,
Combination 27,gpt-3.5-turbo,50,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and skilled in tools like GitHub, PostgreSQL, and Unity. I have experience in",39,,C1,P2,C1_P2,,,,,,,
Combination 28,gpt-4-turbo,50,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student specializing in full stack web development, AI, and machine learning, I possess expertise in Python, C++, Java, GitHub, PostgreSQL, and Unity, with experience in academic and personal projects. My leadership in",38,,C1,P2,C1_P2,,,,,,,
Combination 29,gpt-3.5-turbo,100,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, along with tools like GitHub, PostgreSQL, and Unity. I have led STEM education initiatives, refining my communication skills and nurturing creativity and problem-solving abilities in others.",52,,C1,P2,C1_P2,,,,,,,
Combination 30,gpt-4-turbo,100,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student specialized in full stack web development, AI, and machine learning, I possess a broad skill set in programming languages like Python, C++, and Java, along with familiarity with tools like GitHub, PostgreSQL, and Unity. My experience extends from academic and personal projects to leading STEM education initiatives, enhancing my communication skills and ability to inspire creativity and problem-solving in others.",67,,C1,P2,C1_P2,,,,,,,
Combination 31,gpt-3.5-turbo,25,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a versatile 3rd year computer science student proficient in full stack web development, AI, and machine learning, with",20,,C1,P2,C1_P2,,,,,,,
Combination 32,gpt-4-turbo,25,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd-year computer science student specializing in full stack web development, AI, and machine learning, I possess a",19,,C1,P2,C1_P2,,,,,,,
Combination 33,gpt-3.5-turbo,50,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a skilled 3rd year computer science student experienced in full stack web development, AI, and machine learning. Proficient in Python, C++, and Java, I have led STEM education initiatives, emphasizing effective communication and fostering creativity and problem-solving",39,,C1,P2,C1_P2,,,,,,,
Combination 34,gpt-4-turbo,50,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine skills, I am proficient in Python, C++, Java, and tools like GitHub, PostgreSQL, and Unity, with experience in both academic and personal",39,,C1,P2,C1_P2,,,,,,,
Combination 35,gpt-3.5-turbo,100,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student specializing in full stack web development, AI, and machine learning, possessing skills in multiple programming languages like Python, C++, and Java. I have experience in academic and personal projects, and I excel in effectively communicating complex concepts, promoting creativity, and problem-solving in STEM education initiatives.",54,,C1,P2,C1_P2,,,,,,,
Combination 36,gpt-4-turbo,100,1,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, and am proficient in Python, C++, Java, GitHub, PostgreSQL, and Unity through various academic and personal projects. I also lead STEM education initiatives, enhancing my communication skills and ability to inspire creativity and problem-solving in others.",54,,C1,P2,C1_P2,,,,,,,
Combination 37,gpt-3.5-turbo,25,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning. Sk",19,,C2,P1,C2_P1,,,,,,,
Combination 38,gpt-4-turbo,25,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student skilled in full stack development, AI, and machine learning, proficient in Python",19,,C2,P1,C2_P1,,,,,,,
Combination 39,gpt-3.5-turbo,50,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Passionate about STEM education.",30,,C2,P1,C2_P1,,,,,,,
Combination 40,gpt-4-turbo,50,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student skilled in full stack development, AI, and machine learning, proficient in Python, C++, and Java, with leadership experience in STEM education.",28,,C2,P1,C2_P1,,,,,,,
Combination 41,gpt-3.5-turbo,100,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Passionate about STEM education.",30,,C2,P1,C2_P1,,,,,,,
Combination 42,gpt-4-turbo,100,0,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student skilled in full stack development, AI, and machine learning, proficient in Python, C++, Java, and various technical tools, with leadership experience in STEM education.",31,,C2,P1,C2_P1,,,,,,,
Combination 43,gpt-3.5-turbo,25,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student with expertise in full stack web dev, AI, and machine learning. Sk",19,,C2,P1,C2_P1,,,,,,,
Combination 44,gpt-4-turbo,25,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"3rd-year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++,",17,,C2,P1,C2_P1,,,,,,,
Combination 45,gpt-3.5-turbo,50,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student proficient in full stack web development, AI, and machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Strong communicator and leader in STEM education.",32,,C2,P1,C2_P1,,,,,,,
Combination 46,gpt-4-turbo,50,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"3rd year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++, Java, and various tech tools. Experienced in leading STEM initiatives.",28,,C2,P1,C2_P1,,,,,,,
Combination 47,gpt-3.5-turbo,100,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, machine learning, and multiple programming languages. I lead STEM initiatives, emphasizing communication and problem-solving skills.",30,,C2,P1,C2_P1,,,,,,,
Combination 48,gpt-4-turbo,100,0.5,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I excel in full stack development, AI, and machine learning, with strong programming skills in Python, C++, and Java, and leadership in STEM education.",31,,C2,P1,C2_P1,,,,,,,
Combination 49,gpt-3.5-turbo,25,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a 3rd-year computer science student with experience in full-stack web development, AI, machine learning, and various",17,,C2,P1,C2_P1,,,,,,,
Combination 50,gpt-4-turbo,25,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"3rd year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++,",18,,C2,P1,C2_P1,,,,,,,
Combination 51,gpt-3.5-turbo,50,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student with skills in full stack web development, AI, and machine learning. Proficient in Python, C++, and Java. Leader in STEM education initiatives.",28,,C2,P1,C2_P1,,,,,,,
Combination 52,gpt-4-turbo,50,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"3rd-year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++, Java, and various tech tools. Experienced in leading STEM initiatives.",27,,C2,P1,C2_P1,,,,,,,
Combination 53,gpt-3.5-turbo,100,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"I'm a tech-savvy 3rd-year computer science student skilled in full-stack web development, AI, and machine learning. Proficient in Python, C++, Java, and various tools. Passionate about STEM education.",28,,C2,P1,C2_P1,,,,,,,
Combination 54,gpt-4-turbo,100,1,You are an assistant using a friendly and informal tone.,Rewrite this description with 30 words or less:,"3rd year computer science student specializing in full stack development, AI, and machine learning, with strong Python, C++, and Java skills. Experienced in leading STEM education initiatives.",27,,C2,P1,C2_P1,,,,,,,
Combination 55,gpt-3.5-turbo,25,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient",19,,C2,P2,C2_P2,,,,,,,
Combination 56,gpt-4-turbo,25,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I excel in full stack web development, AI, and machine learning, and",19,,C2,P2,C2_P2,,,,,,,
Combination 57,gpt-3.5-turbo,50,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and experienced with tools like GitHub, PostgreSQL, and Unity. I've led STEM education",37,,C2,P2,C2_P2,,,,,,,
Combination 58,gpt-4-turbo,50,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with a strong command of Python, C++, and Java, alongside tools like GitHub, PostgreSQL, and Unity. I've led STEM",37,,C2,P2,C2_P2,,,,,,,
Combination 59,gpt-3.5-turbo,100,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and experienced with tools like GitHub, PostgreSQL, and Unity. I've led STEM education initiatives, developing strong communication skills and fostering creativity and problem-solving abilities in others.",50,,C2,P2,C2_P2,,,,,,,
Combination 60,gpt-4-turbo,100,0,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, and am proficient in Python, C++, and Java, along with tools like GitHub, PostgreSQL, and Unity. I've led STEM education initiatives and excel at communicating complex ideas, enhancing creativity, and problem-solving in team settings.",52,,C2,P2,C2_P2,,,,,,,
Combination 61,gpt-3.5-turbo,25,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient",19,,C2,P2,C2_P2,,,,,,,
Combination 62,gpt-4-turbo,25,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, and",19,,C2,P2,C2_P2,,,,,,,
Combination 63,gpt-3.5-turbo,50,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with experience in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and skilled in tools like GitHub and PostgreSQL. I've led STEM education projects and excel",39,,C2,P2,C2_P2,,,,,,,
Combination 64,gpt-4-turbo,50,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with a strong command of Python, C++, and Java, along with tools like GitHub, PostgreSQL, and Unity. Beyond my technical",38,,C2,P2,C2_P2,,,,,,,
Combination 65,gpt-3.5-turbo,100,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in languages like Python, C++, and Java, and tools like GitHub, PostgreSQL, and Unity. I've led STEM education programs, refining my communication skills and nurturing creativity and problem-solving abilities in others.",50,,C2,P2,C2_P2,,,,,,,
Combination 66,gpt-4-turbo,100,0.5,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with a strong command of Python, C++, and Java, alongside tools like GitHub, PostgreSQL, and Unity. My experience includes leading STEM education initiatives and working on various projects, where I've developed my ability to clearly communicate complex ideas and encourage creative problem-solving.",60,,C2,P2,C2_P2,,,,,,,
Combination 67,gpt-3.5-turbo,25,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, machine learning, and various",19,,C2,P2,C2_P2,,,,,,,
Combination 68,gpt-4-turbo,25,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I'm",19,,C2,P2,C2_P2,,,,,,,
Combination 69,gpt-3.5-turbo,50,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd-year computer science student proficient in full stack web development, AI, and machine learning, with experience in Python, C++, Java, and tools like GitHub, PostgreSQL, and Unity. Through academic and personal projects and leading STEM",37,,C2,P2,C2_P2,,,,,,,
Combination 70,gpt-4-turbo,50,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with a robust set of programming skills in Python, C++, and Java, and tools like GitHub, PostgreSQL, and Unity. My",38,,C2,P2,C2_P2,,,,,,,
Combination 71,gpt-3.5-turbo,100,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"I'm a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java. I've led STEM education projects that enhance my communication skills and ability to cultivate creativity and problem-solving in others.",43,,C2,P2,C2_P2,,,,,,,
Combination 72,gpt-4-turbo,100,1,You are an assistant using a friendly and informal tone.,Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student skilled in full stack web development, AI, and machine learning, I excel in multiple programming languages like Python, C++, and Java, and am proficient with tools like GitHub, PostgreSQL, and Unity. Beyond my technical prowess, I have leadership experience in STEM education, enhancing my communication skills and ability to inspire creativity and problem-solving in others.",62,,C2,P2,C2_P2,,,,,,,
Combination 73,gpt-3.5-turbo,25,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning, Python, C++,",17,,C3,P1,C3_P1,,,,,,,
Combination 74,gpt-4-turbo,25,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++, Java",18,,C3,P1,C3_P1,,,,,,,
Combination 75,gpt-3.5-turbo,50,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning, Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication and leading STEM education initiatives.",29,,C3,P1,C3_P1,,,,,,,
Combination 76,gpt-4-turbo,50,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++, Java, and various technical tools. Experienced in leading STEM education projects.",28,,C3,P1,C3_P1,,,,,,,
Combination 77,gpt-3.5-turbo,100,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning, Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication and STEM education leadership.",28,,C3,P1,C3_P1,,,,,,,
Combination 78,gpt-4-turbo,100,0,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with strong programming skills in Python, C++, and Java, and leadership in STEM education.",31,,C3,P1,C3_P1,,,,,,,
Combination 79,gpt-3.5-turbo,25,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning. Skilled in Python",18,,C3,P1,C3_P1,,,,,,,
Combination 80,gpt-4-turbo,25,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with proficiency",19,,C3,P1,C3_P1,,,,,,,
Combination 81,gpt-3.5-turbo,50,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Skilled 3rd year computer science student with expertise in full stack web development, AI, machine learning, and leadership in STEM education initiatives. Proficient in Python, C++, Java, GitHub, PostgreSQL, Unity.",30,,C3,P1,C3_P1,,,,,,,
Combination 82,gpt-4-turbo,50,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student skilled in full stack development, AI, and machine learning. Proficient in Python, C++, Java, and various tools. Experienced in leading STEM education initiatives.",27,,C3,P1,C3_P1,,,,,,,
Combination 83,gpt-3.5-turbo,100,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd-year computer science student proficient in full-stack web development, AI, machine learning, and multiple programming languages. Skilled in STEM education and effective communication.",24,,C3,P1,C3_P1,,,,,,,
Combination 84,gpt-4-turbo,100,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student skilled in full stack development, AI, and machine learning, with expertise in Python, C++, Java, and various technical tools. Experienced in leading STEM initiatives.",28,,C3,P1,C3_P1,,,,,,,
Combination 85,gpt-3.5-turbo,25,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web dev, AI, ML, Python, C++, Java",17,,C3,P1,C3_P1,,,,,,,
Combination 86,gpt-4-turbo,25,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student skilled in full stack development, AI, and machine learning, with experience in Python, C++, Java",19,,C3,P1,C3_P1,,,,,,,
Combination 87,gpt-3.5-turbo,50,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"3rd year computer science student experienced in full stack web dev, AI, ML, proficient in Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication and leading STEM education initiatives.",29,,C3,P1,C3_P1,,,,,,,
Combination 88,gpt-4-turbo,50,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Third-year computer science student with expertise in full stack development, AI, and machine learning. Skilled in Python, C++, Java, and various technical tools. Experienced in leading STEM educational projects.",29,,C3,P1,C3_P1,,,,,,,
Combination 89,gpt-3.5-turbo,100,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"Experienced 3rd-year computer science student proficient in full stack web development, AI, ML, Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication and leading STEM education initiatives.",27,,C3,P1,C3_P1,,,,,,,
Combination 90,gpt-4-turbo,100,1,"You are an informative assistant, providing clear and factual information.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I excel in full stack development, AI, and machine learning, with proficiency in Python, C++, Java, and various technical tools.",27,,C3,P1,C3_P1,,,,,,,
Combination 91,gpt-3.5-turbo,25,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning,",20,,C3,P2,C3_P2,,,,,,,
Combination 92,gpt-4-turbo,25,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am",20,,C3,P2,C3_P2,,,,,,,
